Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_proportional_rates[4]	mole_proportional_rates[5]	mole_proportional_rates[6]	mole_proportional_rates[7]	mole_proportional_rates[8]	mole_proportional_rates[9]	mole_proportional_rates[10]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	mole_relative_rates[4]	mole_relative_rates[5]	mole_relative_rates[6]	mole_relative_rates[7]	mole_relative_rates[8]	mole_relative_rates[9]	mole_relative_rates[10]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
10	-95670.46	-95594.91	-75.55426	0.51825	0.356359	0.917621	0.418105	0.848458	0.853142	0.109119	0.67291	0.69337	0.918399	18.23295	0.103225	0.756403	0.00891017	0.0101859	0.0215087	0.0299291	0.0067736	0.0108941	0.0197007	0.0324694	1.03225	7.56403	0.0891017	0.101859	0.215087	0.299291	0.067736	0.108941	0.197007	0.324694	2.659799	0.773811	0.0899751	0.396372	0.949425	2.56423	0.0628815	0.0228754	0.367311	0.0141935	0.147486	0.0853345	0.287454	0.012464	0.503052	0.183003	2.93849	0.113548	1.17989	0.682676	2.29963	0.0997119	12.46778
11	-95680.43	-95604.51	-75.91477	0.51825	0.356359	0.776889	0.418105	0.848458	0.853142	0.109119	0.67291	0.788119	0.918399	17.36264	0.10276	0.752993	0.00901996	0.00982525	0.0214117	0.033179	0.00740452	0.0116097	0.0196119	0.0321849	1.0276	7.52993	0.0901996	0.0982525	0.214117	0.33179	0.0740452	0.116097	0.196119	0.321849	3.087396	0.9282124	0.122417	0.454057	0.987006	2.43652	0.0625791	0.0227654	0.365545	0.0141252	0.146777	0.0897324	0.286072	0.0124041	0.500633	0.182123	2.92436	0.113002	1.17422	0.717859	2.28857	0.0992324	12.5527
12	-95683.82	-95608.71	-75.10711	0.51825	0.356359	0.829526	0.411333	0.848458	0.848422	0.0879404	0.67291	0.788119	1.07795	17.36264	0.102897	0.753998	0.00903199	0.00983836	0.0215299	0.0298411	0.0074144	0.0116252	0.019638	0.0341866	1.02897	7.53998	0.0903199	0.0983836	0.215299	0.298411	0.074144	0.116252	0.19638	0.341866	3.370999	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0623302	0.025667	0.364091	0.0140691	0.146193	0.0903611	0.284934	0.0123547	0.498642	0.205336	2.91273	0.112552	1.16955	0.722889	2.27947	0.0988377	12.42562
13	-95681.85	-95605.96	-75.89038	0.51825	0.365219	0.744993	0.398258	0.848458	0.848422	0.0879404	0.713062	0.788119	1.07795	17.13905	0.103007	0.754802	0.00904162	0.00984885	0.0215529	0.0298729	0.0074223	0.0105711	0.019659	0.034223	1.03007	7.54802	0.0904162	0.0984885	0.215529	0.298729	0.074223	0.105711	0.19659	0.34223	2.832329	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0623498	0.0256751	0.364205	0.0137587	0.146239	0.0903895	0.285024	0.0123586	0.498799	0.205401	2.91364	0.110069	1.16992	0.723116	2.28019	0.0988688	12.58503
14	-95682.35	-95607.2	-75.1506	0.51825	0.37032	0.74699	0.411917	0.848458	0.74646	0.0879404	0.713062	0.788119	1.17709	17.87581	0.102981	0.754616	0.00955458	0.00984642	0.0215476	0.0295968	0.00742047	0.0105685	0.0196541	0.0342146	1.02981	7.54616	0.0955458	0.0984642	0.215476	0.295968	0.0742047	0.105685	0.196541	0.342146	2.236399	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0625959	0.0257764	0.365643	0.013813	0.146817	0.0867999	0.286148	0.0124074	0.500767	0.206211	2.92514	0.110504	1.17453	0.694399	2.28919	0.099259	12.49518
15	-95685.98	-95611.97	-74.00081	0.51825	0.352804	0.665143	0.411917	0.800587	0.74646	0.0879404	0.681086	0.788119	1.17709	17.34145	0.103271	0.756742	0.0100129	0.00987416	0.0216083	0.0296802	0.00744138	0.0105983	0.0181533	0.0326186	1.03271	7.56742	0.100129	0.0987416	0.216083	0.296802	0.0744138	0.105983	0.181533	0.326186	2.236399	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0625959	0.0257764	0.365643	0.013813	0.146817	0.0867999	0.286148	0.0124074	0.500767	0.206211	2.92514	0.110504	1.17453	0.694399	2.28919	0.099259	12.45156
16	-95675.93	-95602.76	-73.17608	0.51825	0.329589	0.741842	0.411917	0.800587	0.822062	0.0879404	0.61563	0.788119	1.17709	18.437	0.106001	0.751751	0.00994687	0.00980904	0.0214658	0.0324919	0.0073923	0.0105284	0.0180336	0.0325798	1.06001	7.51751	0.0994687	0.0980904	0.214658	0.324919	0.073923	0.105284	0.180336	0.325798	2.356876	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0625959	0.0257764	0.365643	0.013813	0.146817	0.0867999	0.286148	0.0124074	0.500767	0.206211	2.92514	0.110504	1.17453	0.694399	2.28919	0.099259	12.24112
17	-95685.12	-95611.3	-73.82184	0.51825	0.327343	0.637547	0.411917	0.798646	0.697864	0.0879404	0.601525	0.788119	1.17709	17.52645	0.106035	0.751994	0.00962726	0.00981221	0.0214727	0.0325024	0.00739469	0.0105318	0.0180394	0.0325903	1.06035	7.51994	0.0962726	0.0981221	0.214727	0.325024	0.0739469	0.105318	0.180394	0.325903	2.2082	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0625959	0.0257764	0.365643	0.013813	0.146817	0.0867999	0.286148	0.0124074	0.500767	0.206211	2.92514	0.110504	1.17453	0.694399	2.28919	0.099259	12.4363
18	-95702.67	-95625.41	-77.2557	0.51825	0.327343	0.602147	0.42115	0.744337	0.793377	0.0879404	0.647718	0.788119	1.17709	17.52645	0.106223	0.753323	0.00944548	0.00982955	0.0204299	0.0314978	0.00740776	0.0105504	0.0180648	0.0332286	1.06223	7.53323	0.0944548	0.0982955	0.204299	0.314978	0.0740776	0.105504	0.180648	0.332286	2.975912	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0635113	0.0261533	0.355008	0.014015	0.148964	0.0880692	0.290333	0.0139467	0.50809	0.209227	2.84006	0.11212	1.19171	0.704554	2.32266	0.111574	12.69679
19	-95694.18	-95619.66	-74.51829	0.535658	0.327343	0.602147	0.42115	0.744337	0.793377	0.0879404	0.647718	0.788119	1.20117	17.38553	0.106313	0.753961	0.00945348	0.00983788	0.0197881	0.0315245	0.00722572	0.0105593	0.0180801	0.0332568	1.06313	7.53961	0.0945348	0.0983788	0.197881	0.315245	0.0722572	0.105593	0.180801	0.332568	2.975912	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0578026	0.0263128	0.357172	0.0141004	0.149872	0.0886061	0.292103	0.0140317	0.462421	0.210502	2.85738	0.112803	1.19897	0.708849	2.33682	0.112254	12.43299
20	-95679.42	-95603.4	-76.01453	0.53333	0.327343	0.623187	0.395867	0.744337	0.699211	0.0836146	0.647718	0.826029	1.20117	17.38553	0.104356	0.754257	0.00945719	0.00984174	0.020926	0.0318729	0.00722855	0.0107032	0.0180872	0.0332698	1.04356	7.54257	0.0945719	0.0984174	0.20926	0.318729	0.0722855	0.107032	0.180872	0.332698	2.769045	0.8782215	0.112063	0.436819	0.976477	2.47464	0.0578026	0.0263128	0.357172	0.0141004	0.149872	0.0886061	0.292103	0.0140317	0.462421	0.210502	2.85738	0.112803	1.19897	0.708849	2.33682	0.112254	12.61002
21	-95673.57	-95597.3	-76.273	0.485867	0.341963	0.623187	0.411268	0.744337	0.699211	0.0836146	0.647718	0.748185	1.20117	18.31579	0.104356	0.754257	0.00945719	0.00984174	0.020926	0.0318729	0.00722855	0.0107032	0.0180872	0.0332698	1.04356	7.54257	0.0945719	0.0984174	0.20926	0.318729	0.0722855	0.107032	0.180872	0.332698	2.769045	0.8186684	0.0995246	0.414543	0.961996	2.52394	0.057592	0.0262169	0.355871	0.014049	0.149325	0.091927	0.291038	0.0139806	0.460736	0.209735	2.84697	0.112392	1.1946	0.735416	2.32831	0.111845	12.55237
22	-95657.32	-95581.4	-75.91572	0.485867	0.341963	0.797824	0.411268	0.796902	0.816692	0.0836146	0.659156	0.748185	1.04161	18.31579	0.105071	0.750748	0.00952198	0.010323	0.0210694	0.0320913	0.00727807	0.0107766	0.0182111	0.0349091	1.05071	7.50748	0.0952198	0.10323	0.210694	0.320913	0.0727807	0.107766	0.182111	0.349091	2.882942	0.8186684	0.0995246	0.414543	0.961996	2.52394	0.057592	0.0262169	0.355871	0.014049	0.149325	0.091927	0.291038	0.0139806	0.460736	0.209735	2.84697	0.112392	1.1946	0.735416	2.32831	0.111845	12.48559
23	-95668.87	-95595.78	-73.09167	0.485867	0.341963	0.797824	0.411268	0.796902	0.816692	0.0754677	0.62136	0.748185	1.04161	17.5054	0.107285	0.746356	0.00972257	0.0105405	0.0215132	0.0327673	0.00737565	0.0110036	0.0177915	0.0356445	1.07285	7.46356	0.0972257	0.105405	0.215132	0.327673	0.0737565	0.110036	0.177915	0.356445	2.164851	1.009095	0.138765	0.479469	1.00149	2.38028	0.0582085	0.0264975	0.35968	0.0141994	0.150924	0.092911	0.283449	0.0141303	0.465668	0.21198	2.87744	0.113595	1.20739	0.743288	2.2676	0.113042	12.36063
24	-95675.08	-95605.18	-69.89788	0.502043	0.341963	0.797824	0.411268	0.879917	0.816692	0.0754677	0.679163	0.748185	1.04161	17.5054	0.107339	0.746732	0.00931357	0.00993152	0.0215241	0.0327838	0.00790381	0.0110091	0.0178005	0.0356624	1.07339	7.46732	0.0931357	0.0993152	0.215241	0.327838	0.0790381	0.110091	0.178005	0.356624	2.417973	1.009095	0.138765	0.479469	1.00149	2.38028	0.0600302	0.0265112	0.344729	0.0146438	0.155647	0.0927529	0.292321	0.013365	0.480242	0.21209	2.75783	0.117151	1.24518	0.742023	2.33857	0.10692	12.00024
25	-95685.68	-95611.86	-73.81943	0.495072	0.334554	0.776797	0.411268	0.879917	0.816692	0.0754677	0.679163	0.748185	1.04161	17.74573	0.107547	0.74818	0.00933162	0.00995076	0.0215658	0.0326804	0.00777299	0.0110305	0.017835	0.0341066	1.07547	7.4818	0.0933162	0.0995076	0.215658	0.326804	0.0777299	0.110305	0.17835	0.341066	2.454255	1.009095	0.138765	0.479469	1.00149	2.38028	0.0602796	0.0228548	0.34616	0.0147046	0.155907	0.0931382	0.293535	0.0134205	0.482237	0.182838	2.76928	0.117637	1.24726	0.745105	2.34828	0.107364	12.36827
26	-95664.88	-95593.37	-71.50411	0.495072	0.334554	0.776797	0.411268	0.879917	0.766496	0.0754677	0.679163	0.748185	1.04161	17.74573	0.10666	0.748796	0.00925467	0.00986871	0.0242934	0.032411	0.00626854	0.0109347	0.0176879	0.0338253	1.0666	7.48796	0.0925467	0.0986871	0.242934	0.32411	0.0626854	0.109347	0.176879	0.338253	2.0897	1.009095	0.138765	0.479469	1.00149	2.38028	0.0604537	0.0229208	0.34716	0.0147471	0.156357	0.0905191	0.294383	0.0134593	0.483629	0.183366	2.77728	0.117977	1.25086	0.724153	2.35506	0.107674	12.17822
27	-95671.38	-95598.46	-72.91865	0.495072	0.334554	0.752835	0.411268	0.879917	0.668004	0.0754677	0.715103	0.748185	1.04161	17.74573	0.106819	0.74962	0.00934835	0.00988345	0.0243296	0.0310762	0.00630244	0.010951	0.0177939	0.0338758	1.06819	7.4962	0.0934835	0.0988345	0.243296	0.310762	0.0630244	0.10951	0.177939	0.338758	2.476961	1.057292	0.148241	0.49332	1.00888	2.34956	0.0604537	0.0229208	0.34716	0.0147471	0.156357	0.0905191	0.294383	0.0134593	0.483629	0.183366	2.77728	0.117977	1.25086	0.724153	2.35506	0.107674	12.2896
28	-95659.92	-95591.61	-68.31811	0.495072	0.334554	0.752835	0.411268	0.879917	0.745208	0.0754677	0.715103	0.748185	1.04161	17.74573	0.10697	0.75068	0.00962506	0.00989742	0.0208564	0.0311201	0.00631135	0.0106083	0.017819	0.0361118	1.0697	7.5068	0.0962506	0.0989742	0.208564	0.311201	0.0631135	0.106083	0.17819	0.361118	2.088491	1.057292	0.148241	0.49332	1.00888	2.34956	0.0617935	0.0228834	0.346593	0.014723	0.156102	0.0903713	0.293902	0.0136318	0.494348	0.183067	2.77275	0.117784	1.24882	0.72297	2.35122	0.109054	11.86067
29	-95671.16	-95601.48	-69.67798	0.495072	0.360207	0.574033	0.411268	0.918098	0.745208	0.0754677	0.715103	0.702358	1.04161	17.74573	0.106543	0.747681	0.0095866	0.0101425	0.0244152	0.0309958	0.00628613	0.0105659	0.0177478	0.0360364	1.06543	7.47681	0.095866	0.101425	0.244152	0.309958	0.0628613	0.105659	0.177478	0.360364	2.498716	0.7116666	0.0766818	0.368983	0.929116	2.62522	0.0607407	0.0224935	0.360689	0.0144722	0.153442	0.0888317	0.285931	0.0133996	0.485926	0.179948	2.88551	0.115778	1.22754	0.710653	2.28745	0.107197	11.97171
30	-95672.18	-95601.9	-70.28021	0.495072	0.360207	0.657292	0.411268	0.874912	0.745208	0.0754677	0.715103	0.702358	1.04161	18.18092	0.10658	0.747937	0.00958989	0.0101459	0.0230296	0.031238	0.00621995	0.0105695	0.0186414	0.0360488	1.0658	7.47937	0.0958989	0.101459	0.230296	0.31238	0.0621995	0.105695	0.186414	0.360488	2.69833	0.7116666	0.0766818	0.368983	0.929116	2.62522	0.0562694	0.0225977	0.36236	0.0146591	0.154153	0.0892432	0.287256	0.0134617	0.450155	0.180782	2.89888	0.117272	1.23323	0.713946	2.29805	0.107693	11.96445
31	-95672.76	-95600.87	-71.89021	0.495072	0.360207	0.657292	0.411268	0.874912	0.730905	0.0754677	0.62872	0.745997	1.04161	19.1369	0.106531	0.747598	0.00965325	0.0106834	0.0230191	0.0312239	0.00606098	0.0105647	0.018633	0.0360324	1.06531	7.47598	0.0965325	0.106834	0.230191	0.312239	0.0606098	0.105647	0.18633	0.360324	2.227629	0.8414574	0.104345	0.423304	0.967812	2.50454	0.0560051	0.0224916	0.360658	0.0145902	0.158126	0.0888241	0.285907	0.0133984	0.448041	0.179933	2.88526	0.116722	1.26501	0.710592	2.28725	0.107187	12.08262
32	-95660.55	-95591.44	-69.1155	0.495072	0.360207	0.657292	0.422083	0.856222	0.761285	0.0754677	0.62872	0.843821	1.04161	18.66154	0.106644	0.748391	0.00966349	0.00981201	0.0230435	0.031257	0.0058893	0.0105759	0.0186528	0.0360707	1.06644	7.48391	0.0966349	0.0981201	0.230435	0.31257	0.058893	0.105759	0.186528	0.360707	2.576336	0.8414574	0.104345	0.423304	0.967812	2.50454	0.0560165	0.0224962	0.360731	0.0145932	0.158159	0.0888422	0.285965	0.0131966	0.448132	0.17997	2.88585	0.116745	1.26527	0.710738	2.28772	0.105573	11.80578
33	-95661.29	-95592.6	-68.69378	0.525162	0.360207	0.75526	0.422083	0.856222	0.761285	0.0754677	0.719246	0.843821	0.958162	18.66201	0.10971	0.743945	0.00960608	0.00975372	0.0229066	0.0330729	0.00585431	0.0107535	0.0185419	0.0358564	1.0971	7.43945	0.0960608	0.0975372	0.229066	0.330729	0.0585431	0.107535	0.185419	0.358564	2.979807	0.8414574	0.104345	0.423304	0.967812	2.50454	0.0601001	0.0223989	0.359171	0.0145301	0.157474	0.0884579	0.284728	0.0131395	0.480801	0.179191	2.87337	0.11624	1.25979	0.707663	2.27783	0.105116	11.70971
34	-95659.61	-95588.62	-70.99006	0.515194	0.360207	0.75526	0.387627	0.856222	0.761285	0.0754677	0.719246	0.843821	0.958162	18.00687	0.109649	0.743533	0.00960076	0.00974832	0.0228939	0.0330546	0.00640461	0.0107476	0.0185317	0.0358365	1.09649	7.43533	0.0960076	0.0974832	0.228939	0.330546	0.0640461	0.107476	0.185317	0.358365	2.765711	0.8414574	0.104345	0.423304	0.967812	2.50454	0.0595046	0.0221769	0.355612	0.0143861	0.155914	0.0974902	0.281907	0.0130093	0.476036	0.177415	2.8449	0.115089	1.24731	0.779922	2.25526	0.104074	12.0307
35	-95665.3	-95594.76	-70.53966	0.515194	0.357554	0.714736	0.387627	0.856222	0.749308	0.0754677	0.719246	0.843821	0.958162	18.74773	0.109725	0.744047	0.0096074	0.00975506	0.0229098	0.0330775	0.00640904	0.0104074	0.0182004	0.0358613	1.09725	7.44047	0.096074	0.0975506	0.229098	0.330775	0.0640904	0.104074	0.182004	0.358613	2.936634	0.7112523	0.0765932	0.368791	0.928968	2.62565	0.0595046	0.0221769	0.355612	0.0143861	0.155914	0.0974902	0.281907	0.0130093	0.476036	0.177415	2.8449	0.115089	1.24731	0.779922	2.25526	0.104074	11.9
36	-95684.16	-95613.05	-71.11034	0.515194	0.357554	0.744907	0.387627	0.851324	0.749308	0.0754677	0.660068	0.843821	0.958162	17.76994	0.115946	0.740148	0.00955706	0.00970394	0.0227897	0.0315935	0.00637545	0.0103529	0.01786	0.0356734	1.15946	7.40148	0.0955706	0.0970394	0.227897	0.315935	0.0637545	0.103529	0.1786	0.356734	2.803954	0.7112523	0.0765932	0.368791	0.928968	2.62565	0.0595046	0.0221769	0.355612	0.0143861	0.155914	0.0974902	0.281907	0.0130093	0.476036	0.177415	2.8449	0.115089	1.24731	0.779922	2.25526	0.104074	12.0715
37	-95665.75	-95593.88	-71.86931	0.515194	0.357554	0.744907	0.387627	0.851324	0.749308	0.0754677	0.660068	0.843821	0.958162	18.55434	0.115907	0.739903	0.00955389	0.00970072	0.0227822	0.031583	0.00670491	0.0103494	0.0178541	0.0356615	1.15907	7.39903	0.0955389	0.0970072	0.227822	0.31583	0.0670491	0.103494	0.178541	0.356615	2.761663	0.788061	0.0930158	0.402283	0.953591	2.55111	0.0595046	0.0221769	0.355612	0.0143861	0.155914	0.0974902	0.281907	0.0130093	0.476036	0.177415	2.8449	0.115089	1.24731	0.779922	2.25526	0.104074	12.07319
38	-95662.38	-95590.11	-72.26357	0.515194	0.346818	0.707197	0.387627	0.851324	0.765928	0.0590096	0.621072	0.843821	0.958162	18.55434	0.115534	0.737521	0.00952313	0.0106926	0.0227088	0.0334992	0.00645096	0.0103161	0.0182076	0.0355467	1.15534	7.37521	0.0952313	0.106926	0.227088	0.334992	0.0645096	0.103161	0.182076	0.355467	2.794976	0.788061	0.0930158	0.402283	0.953591	2.55111	0.0597446	0.0222664	0.357046	0.0144441	0.156543	0.0938499	0.283044	0.0130618	0.477957	0.178131	2.85637	0.115553	1.25234	0.750799	2.26435	0.104494	12.11801
39	-95661.69	-95591.86	-69.82807	0.515194	0.346818	0.561488	0.387627	0.851324	0.765928	0.0590096	0.665293	0.843821	0.952236	18.14235	0.115304	0.736053	0.00950418	0.0106714	0.0226636	0.0334387	0.00643812	0.0114931	0.0189577	0.035476	1.15304	7.36053	0.0950418	0.106714	0.226636	0.334387	0.0643812	0.114931	0.189577	0.35476	2.742044	0.788061	0.0930158	0.402283	0.953591	2.55111	0.0597003	0.0229909	0.356782	0.0144334	0.156427	0.0937804	0.282834	0.0130521	0.477602	0.183927	2.85425	0.115467	1.25141	0.750243	2.26267	0.104417	11.93169
40	-95672.36	-95600.16	-72.19129	0.515194	0.376938	0.618694	0.390314	0.727813	0.724344	0.0717404	0.665293	0.710786	0.952236	18.78174	0.115219	0.73551	0.00949717	0.0102802	0.0226469	0.033414	0.00643338	0.0113147	0.0202345	0.0354498	1.15219	7.3551	0.0949717	0.102802	0.226469	0.33414	0.0643338	0.113147	0.202345	0.354498	2.566589	0.788061	0.0930158	0.402283	0.953591	2.55111	0.0590528	0.0227415	0.352912	0.0142769	0.15473	0.0927632	0.290613	0.0129105	0.472422	0.181932	2.8233	0.114215	1.23784	0.742106	2.3249	0.103284	12.14116
41	-95667.29	-95596.22	-71.0698	0.515194	0.350824	0.69428	0.390314	0.708017	0.724344	0.0533729	0.665293	0.867966	0.952236	18.15769	0.115514	0.737392	0.00884615	0.0103065	0.0227049	0.0334995	0.00644984	0.0113437	0.0184028	0.0355405	1.15514	7.37392	0.0884615	0.103065	0.227049	0.334995	0.0644984	0.113437	0.184028	0.355405	2.703548	0.788061	0.0930158	0.402283	0.953591	2.55111	0.0598815	0.0217038	0.357865	0.0139812	0.144721	0.094065	0.294691	0.0130917	0.479052	0.17363	2.86292	0.11185	1.15777	0.75252	2.35753	0.104734	12.06087
