Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_proportional_rates[4]	mole_proportional_rates[5]	mole_proportional_rates[6]	mole_proportional_rates[7]	mole_proportional_rates[8]	mole_proportional_rates[9]	mole_proportional_rates[10]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	mole_relative_rates[4]	mole_relative_rates[5]	mole_relative_rates[6]	mole_relative_rates[7]	mole_relative_rates[8]	mole_relative_rates[9]	mole_relative_rates[10]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
0	-95681.88	-95602.97	-78.9111	0.518135	0.326929	0.635447	0.413488	0.84073	0.763151	0.0861881	0.657696	0.870274	1.09397	18.37988	0.106766	0.752296	0.0089928	0.00986995	0.0218761	0.0320101	0.0069066	0.0102318	0.0194735	0.0315771	1.06766	7.52296	0.089928	0.0986995	0.218761	0.320101	0.069066	0.102318	0.194735	0.315771	2.340102	1.001677	0.137288	0.477255	1.00028	2.38518	0.0629278	0.0193628	0.376052	0.0142039	0.1569	0.0856369	0.272072	0.012844	0.503422	0.154903	3.00842	0.113631	1.2552	0.685096	2.17658	0.102752	12.83071
1	-95685.6	-95608.35	-77.24697	0.518135	0.333052	0.635447	0.413488	0.787401	0.763151	0.0993818	0.657696	0.884542	0.93307	17.73515	0.106898	0.75322	0.00900385	0.0106403	0.021903	0.0320494	0.00691509	0.0102444	0.0175102	0.0316159	1.06898	7.5322	0.0900385	0.106403	0.21903	0.320494	0.0691509	0.102444	0.175102	0.316159	2.447201	1.001677	0.137288	0.477255	1.00028	2.38518	0.0624343	0.019211	0.380945	0.0140925	0.155669	0.0849654	0.269939	0.0127433	0.499474	0.153688	3.04756	0.11274	1.24536	0.679723	2.15951	0.101946	12.73613
2	-95678.67	-95601.24	-77.42846	0.518135	0.333052	0.613499	0.413488	0.787401	0.763151	0.0993818	0.657696	0.731648	0.93307	17.96737	0.107187	0.752106	0.00902825	0.0106691	0.0219623	0.0321363	0.00679621	0.0102722	0.0175577	0.0322849	1.07187	7.52106	0.0902825	0.106691	0.219623	0.321363	0.0679621	0.102722	0.175577	0.322849	3.094958	0.7712212	0.0894219	0.395284	0.94865	2.56664	0.0622262	0.02248	0.379676	0.0140456	0.155151	0.0846822	0.269039	0.0127008	0.49781	0.17984	3.0374	0.112365	1.2412	0.677458	2.15231	0.101607	12.68376
3	-95682.87	-95605.12	-77.75013	0.518135	0.353776	0.613499	0.413488	0.845182	0.709475	0.0993818	0.657696	0.889636	0.93307	18.44675	0.10711	0.751564	0.00974181	0.0106614	0.0219465	0.0321132	0.00679131	0.0102648	0.017545	0.0322616	1.0711	7.51564	0.0974181	0.106614	0.219465	0.321132	0.0679131	0.102648	0.17545	0.322616	2.590915	0.7712212	0.0894219	0.395284	0.94865	2.56664	0.0602023	0.0217489	0.367326	0.0135887	0.150104	0.0819279	0.292814	0.0122877	0.481618	0.173991	2.93861	0.10871	1.20083	0.655423	2.34251	0.0983018	12.70011
4	-95689.23	-95607.89	-81.34794	0.518135	0.353776	0.662841	0.413488	0.845182	0.921136	0.0993818	0.657696	0.889636	0.93307	17.98507	0.109624	0.751552	0.00974165	0.0106613	0.0213852	0.029783	0.00718186	0.0102646	0.0175448	0.0322611	1.09624	7.51552	0.0974165	0.106613	0.213852	0.29783	0.0718186	0.102646	0.175448	0.322611	3.515612	0.5521258	0.0434096	0.28459	0.854781	2.81722	0.0597752	0.0217454	0.36472	0.0134923	0.149039	0.08829	0.290737	0.0122006	0.478201	0.173963	2.91776	0.107939	1.19231	0.70632	2.32589	0.0976045	12.98749
5	-95693.85	-95615.91	-77.94483	0.531337	0.356359	0.690326	0.413488	0.903522	0.921136	0.108499	0.737311	0.771415	0.93307	17.19718	0.103364	0.757423	0.00981775	0.0108427	0.0196764	0.0300157	0.00723796	0.0103448	0.0187644	0.0325131	1.03364	7.57423	0.0981775	0.108427	0.196764	0.300157	0.0723796	0.103448	0.187644	0.325131	3.355247	0.5615926	0.0452961	0.290237	0.860384	2.80408	0.0619635	0.0225414	0.378073	0.0139863	0.154496	0.0915223	0.264771	0.0126472	0.495708	0.180332	3.02458	0.11189	1.23597	0.732178	2.11817	0.101178	12.73479
6	-95687.99	-95610.14	-77.84873	0.484152	0.356359	0.690326	0.413488	0.856268	0.921136	0.108499	0.737311	0.678545	0.93307	17.76468	0.103237	0.75649	0.00869503	0.0108294	0.0218307	0.0299787	0.00731223	0.010332	0.0188218	0.0324731	1.03237	7.5649	0.0869503	0.108294	0.218307	0.299787	0.0731223	0.10332	0.188218	0.324731	2.577163	0.5615926	0.0452961	0.290237	0.860384	2.80408	0.0623292	0.0226745	0.380304	0.0140688	0.155407	0.0861614	0.266333	0.0127218	0.498633	0.181396	3.04243	0.11255	1.24326	0.689291	2.13067	0.101775	12.76497
7	-95687.88	-95610.15	-77.7311	0.484152	0.356359	0.690326	0.413488	0.856268	0.853142	0.108499	0.67291	0.678545	0.93307	17.38028	0.103247	0.756561	0.00869585	0.0108304	0.0218327	0.0299815	0.00721879	0.010333	0.0188236	0.0324762	1.03247	7.56561	0.0869585	0.108304	0.218327	0.299815	0.0721879	0.10333	0.188236	0.324762	2.962861	0.6634346	0.0664016	0.345754	0.910526	2.67732	0.0620169	0.0225609	0.364906	0.0139983	0.154629	0.0857298	0.283501	0.0126581	0.496135	0.180487	2.91925	0.111987	1.23703	0.685838	2.26801	0.101265	12.76632
8	-95681.36	-95604.4	-76.96072	0.484152	0.356359	0.690326	0.418105	0.848458	0.853142	0.108499	0.67291	0.69337	0.93307	17.66068	0.103144	0.755809	0.00854353	0.0108196	0.0229796	0.0295017	0.00676828	0.0108856	0.0191047	0.0324439	1.03144	7.55809	0.0854353	0.108196	0.229796	0.295017	0.0676828	0.108856	0.191047	0.324439	2.872543	0.6634346	0.0664016	0.345754	0.910526	2.67732	0.0626901	0.0228058	0.368867	0.0141503	0.147038	0.0850748	0.286579	0.0127955	0.501521	0.182446	2.95094	0.113202	1.1763	0.680599	2.29263	0.102364	12.66911
9	-95676.43	-95599.83	-76.60265	0.51825	0.356359	0.690326	0.418105	0.848458	0.853142	0.109119	0.67291	0.69337	0.93307	18.0427	0.103446	0.758021	0.00856854	0.010864	0.0215547	0.029588	0.00678809	0.0109174	0.0177129	0.0325388	1.03446	7.58021	0.0856854	0.10864	0.215547	0.29588	0.0678809	0.109174	0.177129	0.325388	2.868912	0.6963292	0.0734044	0.361793	0.923501	2.6413	0.062036	0.0225678	0.374577	0.0140026	0.145503	0.0841871	0.283589	0.013538	0.496288	0.180542	2.99661	0.112021	1.16403	0.673497	2.26871	0.108304	12.59199
