Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_proportional_rates[4]	mole_proportional_rates[5]	mole_proportional_rates[6]	mole_proportional_rates[7]	mole_proportional_rates[8]	mole_proportional_rates[9]	mole_proportional_rates[10]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	mole_relative_rates[4]	mole_relative_rates[5]	mole_relative_rates[6]	mole_relative_rates[7]	mole_relative_rates[8]	mole_relative_rates[9]	mole_relative_rates[10]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
10	-95678.19	-95582.82	-95.37785	0.433556	0.299501	0.672686	0.340249	0.711946	0.730977	0.0858132	0.639097	0.806167	0.973605	17.06218	0.0849984	0.801375	0.00761144	0.00776621	0.0167189	0.0269587	0.00505365	0.00884017	0.0146476	0.02603	0.849984	8.01375	0.0761144	0.0776621	0.167189	0.269587	0.0505365	0.0884017	0.146476	0.2603	2.292299	0.8183345	0.0994538	0.414412	0.961908	2.52423	0.0609086	0.0203355	0.335654	0.0146552	0.163058	0.0949347	0.298068	0.0123868	0.487269	0.162684	2.68523	0.117241	1.30446	0.759478	2.38454	0.0990945	14.66518
11	-95683.28	-95590.52	-92.75973	0.497386	0.309113	0.602063	0.340249	0.711946	0.730977	0.0706909	0.639097	0.806167	0.973605	16.90983	0.0849821	0.801221	0.00760998	0.00795667	0.0167157	0.0269535	0.00505268	0.00883847	0.0146448	0.026025	0.849821	8.01221	0.0760998	0.0795667	0.167157	0.269535	0.0505268	0.0883847	0.146448	0.26025	1.967788	0.8183345	0.0994538	0.414412	0.961908	2.52423	0.0609086	0.0203355	0.335654	0.0146552	0.163058	0.0949347	0.298068	0.0123868	0.487269	0.162684	2.68523	0.117241	1.30446	0.759478	2.38454	0.0990945	14.45228
12	-95675.07	-95583.9	-91.1711	0.497386	0.31048	0.696154	0.389809	0.711946	0.730977	0.0706909	0.639097	0.806167	0.973605	16.67088	0.0852261	0.803522	0.00707059	0.00797952	0.0156099	0.0270309	0.00506719	0.00886385	0.0135301	0.0260997	0.852261	8.03522	0.0707059	0.0797952	0.156099	0.270309	0.0506719	0.0886385	0.135301	0.260997	1.967788	0.8431192	0.104695	0.423932	0.968222	2.50315	0.0609086	0.0203355	0.335654	0.0146552	0.163058	0.0949347	0.298068	0.0123868	0.487269	0.162684	2.68523	0.117241	1.30446	0.759478	2.38454	0.0990945	14.30281
13	-95674.35	-95579.49	-94.8614	0.497386	0.31048	0.696154	0.389809	0.711946	0.730977	0.0594556	0.639097	0.806167	0.973605	16.46191	0.0851522	0.802825	0.0072013	0.0079726	0.0163515	0.0269388	0.00510747	0.00885616	0.0135184	0.0260771	0.851522	8.02825	0.072013	0.079726	0.163515	0.269388	0.0510747	0.0885616	0.135184	0.260771	2.182697	0.8431192	0.104695	0.423932	0.968222	2.50315	0.0609332	0.0203437	0.335789	0.0142576	0.163124	0.094973	0.298188	0.0123918	0.487465	0.16275	2.68631	0.114061	1.30499	0.759784	2.3855	0.0991345	14.67237
14	-95689.96	-95592.32	-97.63513	0.497386	0.31323	0.696154	0.389809	0.711946	0.730977	0.0460856	0.639097	0.752603	1.00152	16.51101	0.0849712	0.801119	0.007186	0.00795566	0.0163167	0.0284359	0.00573277	0.00883734	0.013424	0.0260217	0.849712	8.01119	0.07186	0.0795566	0.163167	0.284359	0.0573277	0.0883734	0.13424	0.260217	2.059203	0.8431192	0.104695	0.423932	0.968222	2.50315	0.0599167	0.0200043	0.346869	0.0140198	0.160403	0.0933888	0.293214	0.0121851	0.479334	0.160035	2.77495	0.112158	1.28322	0.747111	2.34571	0.0974809	14.96081
15	-95690.56	-95591.75	-98.81101	0.55423	0.305077	0.696154	0.389809	0.711946	0.730977	0.0460856	0.671758	0.752603	1.00152	16.89505	0.0850298	0.801067	0.00718554	0.00795515	0.0163157	0.028434	0.0057324	0.00883678	0.0134231	0.02602	0.850298	8.01067	0.0718554	0.0795515	0.163157	0.28434	0.057324	0.0883678	0.134231	0.2602	1.818976	0.7473174	0.0843105	0.385026	0.941216	2.58945	0.0599131	0.0200031	0.346848	0.0140795	0.160393	0.0933832	0.293196	0.0121844	0.479305	0.160025	2.77478	0.112636	1.28314	0.747065	2.34557	0.097475	15.05588
16	-95689.24	-95589.64	-99.60041	0.55423	0.305077	0.696154	0.389809	0.711946	0.730977	0.0460856	0.671758	0.752603	0.972665	16.84486	0.0848067	0.798965	0.00716669	0.00843682	0.0162729	0.0283594	0.00571736	0.009559	0.0147643	0.0259517	0.848067	7.98965	0.0716669	0.0843682	0.162729	0.283594	0.0571736	0.09559	0.147643	0.259517	1.614664	0.7473174	0.0843105	0.385026	0.941216	2.58945	0.0593955	0.0200141	0.347039	0.0140872	0.160481	0.0934346	0.293358	0.0121911	0.475164	0.160113	2.77631	0.112698	1.28385	0.747477	2.34686	0.0975286	15.16316
17	-95700.1	-95602.7	-97.39718	0.55423	0.310656	0.696154	0.389809	0.711946	0.730977	0.0460856	0.671758	0.815809	0.972665	16.63343	0.0847846	0.798758	0.00716482	0.00843463	0.0162686	0.0283521	0.00514009	0.00955651	0.015596	0.025945	0.847846	7.98758	0.0716482	0.0843463	0.162686	0.283521	0.0514009	0.0955651	0.15596	0.25945	1.572112	0.7473174	0.0843105	0.385026	0.941216	2.58945	0.059166	0.0199368	0.345697	0.0140328	0.159861	0.0969384	0.292224	0.012144	0.473328	0.159494	2.76558	0.112262	1.27889	0.775507	2.33779	0.0971517	14.96135
18	-95689.84	-95593.16	-96.67421	0.52211	0.317598	0.696154	0.404473	0.711946	0.730977	0.0432667	0.671758	0.815809	1.07825	16.36908	0.084956	0.800372	0.00717931	0.00845168	0.0163015	0.0260612	0.00478017	0.00957583	0.0163245	0.0259974	0.84956	8.00372	0.0717931	0.0845168	0.163015	0.260612	0.0478017	0.0957583	0.163245	0.259974	1.572112	1.04807	0.146444	0.490738	1.00753	2.35529	0.0605955	0.0204185	0.329517	0.0147425	0.163724	0.0992806	0.299284	0.0124374	0.484764	0.163348	2.63614	0.11794	1.30979	0.794245	2.39428	0.0994991	14.90627
19	-95691.1	-95595.2	-95.89712	0.512298	0.322335	0.696154	0.404473	0.868889	0.730977	0.0553634	0.671758	0.815809	1.07825	15.61362	0.0849248	0.800078	0.00717667	0.00844857	0.0167109	0.0260516	0.00477842	0.00957231	0.0163185	0.0259401	0.849248	8.00078	0.0717667	0.0844857	0.167109	0.260516	0.0477842	0.0957231	0.163185	0.259401	1.688672	1.10943	0.158256	0.507341	1.016	2.3184	0.061894	0.0221575	0.336578	0.0150584	0.144502	0.101408	0.305698	0.0127039	0.495152	0.17726	2.69263	0.120467	1.15602	0.811265	2.44558	0.101631	14.87605
